car,model,price,year,mileage,location
Toyota Prius,two,15999,2014,24404,Chicago
Toyota Prius,two,15991,2013,47197,Chicago
Toyota Prius,two,15990,2015,43705,Chicago
Toyota Prius,two,15980,2014,51912,Chicago
Toyota Prius,persona special edition,15877,2015,50374,Chicago
Toyota Prius,two,15850,2015,24885,Chicago
Toyota Prius,two,15850,2015,26337,Chicago
Toyota Prius,two,15850,2015,38020,Chicago
Toyota Prius,two,15789,2014,35810,Chicago
Toyota Prius,two,15500,2014,17140,Chicago
Toyota Prius,two,15490,2013,17246,Chicago
Toyota Prius,three,15000,2014,24917,Chicago
Toyota Prius,two,14999,2013,29430,Chicago
Toyota Prius,five,14995,2015,30950,Chicago
Toyota Prius,three,14990,2013,19189,Chicago
Toyota Prius,two,14990,2013,37346,Chicago
Toyota Prius,two,14990,2014,41325,Chicago
Toyota Prius,one ,14850,2014,46418,Chicago
Toyota Prius,two,14850,2015,47061,Chicago
Toyota Prius,two,14850,2015,53724,Chicago
Toyota Prius,two,14790,2014,28595,Chicago
Toyota Prius,Four,19875,2014,12795,Cleveland
Toyota Prius,Two,18975,2015,8163,Cleveland
Toyota Prius,Three,17937,2014,17319,Cleveland
Toyota Prius,Two,16998,2014,16264,Cleveland
Toyota Prius,Three,16998,2013,44343,Cleveland
Toyota Prius,Four,16950,2014,29892,Cleveland
Toyota Prius,Two,16909,2013,30151,Cleveland
Toyota Prius,Two,16375,2013,32696,Cleveland
Toyota Prius,Three,15988,2014,43518,Cleveland
Toyota Prius,One,15888,2013,19345,Cleveland
Toyota Prius,Two,15400,2013,43058,Cleveland
Toyota Prius,Two ,14995,2015,36343,Cleveland
Toyota Prius,Two,14750,2013,31000,Cleveland
Toyota Prius,Two,14500,2014,47028,Cleveland
Toyota Prius,Two,13979,2013,57262,Cleveland
Toyota Prius,Two,13694,2013,40912,Cleveland
Toyota Prius,Two,12991,2014,45041,Cleveland
Toyota Prius,Three,11900,2013,99025,Cleveland
Toyota Prius,Two,11450,2013,83633,Cleveland
Toyota Prius,Three,9500,2012,105761,Cleveland
Toyota Prius,One,9485,2011,97239,Cleveland
Toyota Prius,Three,8495,2011,119979,Cleveland
Toyota Prius,Three,29371,2016,0,Cleveland
Toyota Prius,Three,28041,2016,0,Cleveland
Toyota Prius,Four,11995,2013,63175,Cleveland
Toyota Prius,Three,11594,2012,56868,Cleveland
Toyota Prius,4,30972,2016,5358,Dallas
Toyota Prius,4,30585,2016,11,Dallas
Toyota Prius,4,28000,2016,7000,Dallas
Toyota Prius,4,24963,2013,0,Dallas
Toyota Prius,2,21992,2016,10288,Dallas
Toyota Prius,4,19991,2015,21328,Dallas
Toyota Prius,2,19987,2016,15715,Dallas
Toyota Prius,3,17991,2014,27983,Dallas
Toyota Prius,3,17981,2014,32835,Dallas
Toyota Prius,4,16900,2014,31366,Dallas
Toyota Prius,2,16780,2014,34943,Dallas
Toyota Prius,2,16711,2013,28394,Dallas
Toyota Prius,5,16552,2013,38390,Dallas
Toyota Prius,2,16480,2013,32528,Dallas
Toyota Prius,3,15280,2012,39585,Dallas
Toyota Prius,2,14991,2014,50290,Dallas
Toyota Prius,2,14988,2014,28462,Dallas
Toyota Prius,2,14982,2013,22836,Dallas
Toyota Prius,3,14980,2013,46670,Dallas
Toyota Prius,4,14854,2013,44106,Dallas
Toyota Prius,2,14781,2015,43521,Dallas
Toyota Prius,3,14599,2012,45487,Dallas
Toyota Prius,2,14588,2015,32414,Dallas
Toyota Prius,2,14544,2015,40086,Dallas
Toyota Prius,3,13994,2013,58605,Dallas
Toyota Prius,2,13969,2014,34122,Dallas
Toyota Prius,3,13950,2014,64623,Dallas
Toyota Prius,1,13800,2013,46880,Dallas
Toyota Prius,3,13447,2013,71757,Dallas
Toyota Prius,2,13227,2013,52455,Dallas
Toyota Prius,1,12995,2012,46620,Dallas
Toyota Prius,1,12915,2012,51795,Dallas
Toyota Prius,2,12915,2013,73000,Dallas
Toyota Prius,2,12744,2012,61447,Dallas
Toyota Prius,1,11999,2011,40580,Dallas
Toyota Prius,1,11943,2013,87000,Dallas
Toyota Prius,1,10999,2013,75558,Dallas
Toyota Prius,4,10900,2012,48000,Dallas
Toyota Prius,2,10787,2011,75658,Dallas
Toyota Prius,1,10777,2012,94769,Dallas
Toyota Prius,2,10456,2011,98713,Dallas
Toyota Prius,V4,32010,2016,4630,Los Angeles
